fileName,chunkIndex,totalChunks,simTime,txX,txY,rxX,rxY,distance
frame_0000.bin,0,1,11,26.6,961.789,,,
frame_0001.bin,0,1,13.5,26.6,939.149,,,
frame_0002.bin,0,1,16,26.6,924.704,,,
frame_0003.bin,0,1,18.5,26.6,902.429,,,
frame_0004.bin,0,1,21,26.6,888.185,,,
frame_0005.bin,0,1,23.5,26.6,866.302,,,
frame_0006.bin,0,1,26,26.6,851.92,,,
frame_0007.bin,0,1,28.5,26.6,830.359,,,
frame_0008.bin,0,1,31,26.6,816.228,,,
frame_0009.bin,0,1,33.5,26.6,793.269,,,
frame_0010.bin,0,1,36,26.6,778.271,,,
frame_0011.bin,0,1,38.5,26.6,757.108,,,
frame_0012.bin,0,2,41,26.6,741.463,,,
frame_0012.bin,1,2,43.5,26.6,718.275,,,
frame_0013.bin,0,2,46,26.6,704.433,,,
frame_0013.bin,1,2,48.5,26.6,681.408,,,
frame_0014.bin,0,1,51,26.6,665.738,,,
frame_0015.bin,0,1,53.5,26.6,643.293,,,
frame_0016.bin,0,1,56,26.6,629.033,,,
frame_0017.bin,0,1,58.5,26.6,607.315,,,
frame_0018.bin,0,1,61,26.6,593.471,,,
frame_0019.bin,0,1,63.5,26.6,570.099,,,
