sequence,config,frames_total,frames_delivered,delivery_rate,bit_exact_rate,mean_edge_f1,prediction,prob_class0,prob_class1,ground_truth,match
seq2,Baseline,23,16,0.6957,0.6957,0.6957,1,0.02384709194302559,0.9761528968811035,1,True
seq2,Noise_Low,23,11,0.4783,0.4783,0.4783,0,0.7352209687232971,0.26477909088134766,1,False
seq2,Noise_Medium,23,5,0.2174,0.2174,0.2174,0,0.8674672842025757,0.1325327455997467,1,False
seq2,Noise_High,23,1,0.0435,0.0435,0.0435,0,0.6272738575935364,0.3727261424064636,1,False
seq2,CAV_Good,23,16,0.6957,0.6957,0.6957,1,0.02384709194302559,0.9761528968811035,1,True
seq2,CAV_Moderate,23,5,0.2174,0.2174,0.2174,0,0.8674672842025757,0.1325327455997467,1,False
seq2,CAV_Bad,23,1,0.0435,0.0435,0.0435,0,0.6272738575935364,0.3727261424064636,1,False
seq1,Baseline,20,14,0.7,0.7,0.7,1,0.02466789074242115,0.9753320813179016,1,True
seq1,Noise_Low,20,11,0.55,0.55,0.55,1,0.3146454691886902,0.6853545308113098,1,True
seq1,Noise_Medium,20,5,0.25,0.25,0.25,0,0.9438940286636353,0.056105922907590866,1,False
seq1,Noise_High,20,1,0.05,0.05,0.05,0,0.7981219291687012,0.20187801122665405,1,False
seq1,CAV_Good,20,14,0.7,0.7,0.7,1,0.02466789074242115,0.9753320813179016,1,True
seq1,CAV_Moderate,20,5,0.25,0.25,0.25,0,0.9438940286636353,0.056105922907590866,1,False
seq1,CAV_Bad,20,1,0.05,0.05,0.05,0,0.7981219291687012,0.20187801122665405,1,False
