frame,source_image,sent_bytes,received_bytes,status,bit_exact,nodes_orig,nodes_rec,edges_orig,edges_rec,edges_common,nodes_match,edge_precision,edge_recall,edge_f1,actor_edges_orig,actor_edges_rec,actor_edges_common,actor_edge_precision,actor_edge_recall,actor_edge_f1,risky_orig,risky_rec,risky_preserved,format,blocks_missing,relations_recovered,relations_sent,tx_time,rx_time,distance_m,chunks_sent,chunks_heard,note
0,/home/opp_env/default_workspace/gbsed/images/00097097.jpg,762,0,LOST,False,7,0,18,0,0,False,0.0,0.0,0.0,14,0,0,0.0,0.0,0.0,0,0,0,v1,,,6,11.0,,,1,0,"sent at t=11.0, nothing heard"
1,/home/opp_env/default_workspace/gbsed/images/00097098.jpg,862,0,LOST,False,7,0,18,0,0,False,0.0,0.0,0.0,14,0,0,0.0,0.0,0.0,2,0,0,v1,,,7,13.5,,,1,0,"sent at t=13.5, nothing heard"
2,/home/opp_env/default_workspace/gbsed/images/00097099.jpg,862,0,LOST,False,7,0,18,0,0,False,0.0,0.0,0.0,14,0,0,0.0,0.0,0.0,2,0,0,v1,,,7,16.0,,,1,0,"sent at t=16.0, nothing heard"
3,/home/opp_env/default_workspace/gbsed/images/00097100.jpg,862,0,LOST,False,7,0,16,0,0,False,0.0,0.0,0.0,12,0,0,0.0,0.0,0.0,2,0,0,v1,,,7,18.5,,,1,0,"sent at t=18.5, nothing heard"
4,/home/opp_env/default_workspace/gbsed/images/00097100.png,862,0,LOST,False,7,0,16,0,0,False,0.0,0.0,0.0,12,0,0,0.0,0.0,0.0,2,0,0,v1,,,7,21.0,,,1,0,"sent at t=21.0, nothing heard"
5,/home/opp_env/default_workspace/gbsed/images/00097101.jpg,862,0,LOST,False,7,0,16,0,0,False,0.0,0.0,0.0,12,0,0,0.0,0.0,0.0,2,0,0,v1,,,7,23.5,,,1,0,"sent at t=23.5, nothing heard"
6,/home/opp_env/default_workspace/gbsed/images/00097102.jpg,862,0,LOST,False,7,0,16,0,0,False,0.0,0.0,0.0,12,0,0,0.0,0.0,0.0,2,0,0,v1,,,7,26.0,,,1,0,"sent at t=26.0, nothing heard"
7,/home/opp_env/default_workspace/gbsed/images/00097103.jpg,862,0,LOST,False,7,0,16,0,0,False,0.0,0.0,0.0,12,0,0,0.0,0.0,0.0,2,0,0,v1,,,7,28.5,,,1,0,"sent at t=28.5, nothing heard"
8,/home/opp_env/default_workspace/gbsed/images/00097104.jpg,862,0,LOST,False,7,0,16,0,0,False,0.0,0.0,0.0,12,0,0,0.0,0.0,0.0,2,0,0,v1,,,7,31.0,,,1,0,"sent at t=31.0, nothing heard"
9,/home/opp_env/default_workspace/gbsed/images/00097105.jpg,762,0,LOST,False,7,0,16,0,0,False,0.0,0.0,0.0,12,0,0,0.0,0.0,0.0,4,0,0,v1,,,6,33.5,,,1,0,"sent at t=33.5, nothing heard"
10,/home/opp_env/default_workspace/gbsed/images/00097106.jpg,762,0,LOST,False,7,0,16,0,0,False,0.0,0.0,0.0,12,0,0,0.0,0.0,0.0,4,0,0,v1,,,6,36.0,,,1,0,"sent at t=36.0, nothing heard"
11,/home/opp_env/default_workspace/gbsed/images/00097107.jpg,762,0,LOST,False,7,0,16,0,0,False,0.0,0.0,0.0,12,0,0,0.0,0.0,0.0,4,0,0,v1,,,6,38.5,,,1,0,"sent at t=38.5, nothing heard"
12,/home/opp_env/default_workspace/gbsed/images/00097108.jpg,1642,0,LOST,False,10,0,19,0,0,False,0.0,0.0,0.0,15,0,0,0.0,0.0,0.0,2,0,0,v1,,,7,41.0,,,2,0,"sent at t=41.0, nothing heard"
13,/home/opp_env/default_workspace/gbsed/images/00097109.jpg,1354,0,LOST,False,9,0,18,0,0,False,0.0,0.0,0.0,14,0,0,0.0,0.0,0.0,2,0,0,v1,,,7,46.0,,,2,0,"sent at t=46.0, nothing heard"
14,/home/opp_env/default_workspace/gbsed/images/00097110.jpg,436,0,LOST,False,6,0,9,0,0,False,0.0,0.0,0.0,5,0,0,0.0,0.0,0.0,2,0,0,v1,,,4,51.0,,,1,0,"sent at t=51.0, nothing heard"
15,/home/opp_env/default_workspace/gbsed/images/00097111.jpg,436,0,LOST,False,6,0,9,0,0,False,0.0,0.0,0.0,5,0,0,0.0,0.0,0.0,2,0,0,v1,,,4,53.5,,,1,0,"sent at t=53.5, nothing heard"
16,/home/opp_env/default_workspace/gbsed/images/00097112.jpg,436,0,LOST,False,6,0,9,0,0,False,0.0,0.0,0.0,5,0,0,0.0,0.0,0.0,2,0,0,v1,,,4,56.0,,,1,0,"sent at t=56.0, nothing heard"
17,/home/opp_env/default_workspace/gbsed/images/00097113.jpg,562,0,LOST,False,7,0,10,0,0,False,0.0,0.0,0.0,6,0,0,0.0,0.0,0.0,2,0,0,v1,,,4,58.5,,,1,0,"sent at t=58.5, nothing heard"
18,/home/opp_env/default_workspace/gbsed/images/00097114.jpg,704,0,LOST,False,8,0,11,0,0,False,0.0,0.0,0.0,7,0,0,0.0,0.0,0.0,2,0,0,v1,,,4,61.0,,,1,0,"sent at t=61.0, nothing heard"
19,/home/opp_env/default_workspace/gbsed/images/00097114.png,704,0,LOST,False,8,0,11,0,0,False,0.0,0.0,0.0,7,0,0,0.0,0.0,0.0,2,0,0,v1,,,4,63.5,,,1,0,"sent at t=63.5, nothing heard"
