frame,source_image,sent_bytes,received_bytes,status,bit_exact,nodes_orig,nodes_rec,edges_orig,edges_rec,edges_common,nodes_match,edge_precision,edge_recall,edge_f1,actor_edges_orig,actor_edges_rec,actor_edges_common,actor_edge_precision,actor_edge_recall,actor_edge_f1,risky_orig,risky_rec,risky_preserved,format,blocks_missing,relations_recovered,relations_sent,tx_time,rx_time,distance_m,chunks_sent,chunks_heard,note
0,/Users/mahdisahil/Desktop/PythonEnvs/gbsed/images_seq1/00097097.jpg,1000,1000,EXACT,True,7,7,18,18,18,True,1.0,1.0,1.0,14,14,14,1.0,1.0,1.0,0,0,0,v2,0,6,6,11.0,13.5,124.9,2,2,
1,/Users/mahdisahil/Desktop/PythonEnvs/gbsed/images_seq1/00097098.jpg,1000,1000,EXACT,True,7,7,18,18,18,True,1.0,1.0,1.0,14,14,14,1.0,1.0,1.0,2,2,2,v2,0,7,7,16.0,18.5,178.2,2,2,
2,/Users/mahdisahil/Desktop/PythonEnvs/gbsed/images_seq1/00097099.jpg,1000,1000,EXACT,True,7,7,18,18,18,True,1.0,1.0,1.0,14,14,14,1.0,1.0,1.0,2,2,2,v2,0,7,7,21.0,23.5,230.5,2,2,
3,/Users/mahdisahil/Desktop/PythonEnvs/gbsed/images_seq1/00097100.jpg,1000,1000,EXACT,True,7,7,16,16,16,True,1.0,1.0,1.0,12,12,12,1.0,1.0,1.0,2,2,2,v2,0,7,7,26.0,28.5,281.4,2,2,
4,/Users/mahdisahil/Desktop/PythonEnvs/gbsed/images_seq1/00097100.png,1000,1000,EXACT,True,7,7,16,16,16,True,1.0,1.0,1.0,12,12,12,1.0,1.0,1.0,2,2,2,v2,0,7,7,31.0,33.5,333.1,2,2,
5,/Users/mahdisahil/Desktop/PythonEnvs/gbsed/images_seq1/00097101.jpg,1000,1000,EXACT,True,7,7,16,16,16,True,1.0,1.0,1.0,12,12,12,1.0,1.0,1.0,2,2,2,v2,0,7,7,36.0,38.5,384.0,2,2,
6,/Users/mahdisahil/Desktop/PythonEnvs/gbsed/images_seq1/00097102.jpg,1000,1000,EXACT,True,7,7,16,16,16,True,1.0,1.0,1.0,12,12,12,1.0,1.0,1.0,2,2,2,v2,0,7,7,41.0,43.5,436.8,2,2,
7,/Users/mahdisahil/Desktop/PythonEnvs/gbsed/images_seq1/00097103.jpg,1000,1000,EXACT,True,7,7,16,16,16,True,1.0,1.0,1.0,12,12,12,1.0,1.0,1.0,2,2,2,v2,0,7,7,46.0,48.5,488.2,2,2,
8,/Users/mahdisahil/Desktop/PythonEnvs/gbsed/images_seq1/00097104.jpg,1000,0,LOST,False,7,0,16,0,0,False,0.0,0.0,0.0,12,0,0,0.0,0.0,0.0,2,0,0,v2,,,7,51.0,,,2,0,"sent at t=51.0, nothing heard"
9,/Users/mahdisahil/Desktop/PythonEnvs/gbsed/images_seq1/00097105.jpg,1000,0,LOST,False,7,0,16,0,0,False,0.0,0.0,0.0,12,0,0,0.0,0.0,0.0,4,0,0,v2,,,6,56.0,,,2,0,"sent at t=56.0, nothing heard"
10,/Users/mahdisahil/Desktop/PythonEnvs/gbsed/images_seq1/00097106.jpg,1000,0,LOST,False,7,0,16,0,0,False,0.0,0.0,0.0,12,0,0,0.0,0.0,0.0,4,0,0,v2,,,6,61.0,,,2,0,"sent at t=61.0, nothing heard"
