arm,format,chunk_size,config,frames,delivered,partial,graph_exact,mean_edge_f1_delivered,mean_actor_f1_delivered,risky_total,risky_preserved,risky_recall
v1_cs1000,v1,1000,Baseline,20,14,0,14,1.0,1.0,32,32,1.0
v1_cs1000,v1,1000,Noise_Low,20,11,0,11,1.0,1.0,24,24,1.0
v1_cs1000,v1,1000,Noise_Medium,20,5,0,5,1.0,1.0,8,8,1.0
v1_cs1000,v1,1000,Noise_High,20,1,0,1,1.0,1.0,0,0,
v1_cs1000,v1,1000,CAV_Extreme,20,0,0,0,0.0,0.0,0,0,
v1_cs500,v1,500,Baseline,20,8,0,8,1.0,1.0,14,14,1.0
v1_cs500,v1,500,Noise_Low,20,6,1,5,0.9615,0.9444,10,8,0.8
v1_cs500,v1,500,Noise_Medium,20,3,1,2,0.9195,0.8889,4,2,0.5
v1_cs500,v1,500,Noise_High,20,1,1,0,0.7586,0.6667,0,0,
v1_cs500,v1,500,CAV_Extreme,20,0,0,0,0.0,0.0,0,0,
v2_cs1000,v2,1000,Baseline,20,14,0,14,1.0,1.0,32,32,1.0
v2_cs1000,v2,1000,Noise_Low,20,11,0,11,1.0,1.0,24,24,1.0
v2_cs1000,v2,1000,Noise_Medium,20,5,0,5,1.0,1.0,8,8,1.0
v2_cs1000,v2,1000,Noise_High,20,1,0,1,1.0,1.0,0,0,
v2_cs1000,v2,1000,CAV_Extreme,20,0,0,0,0.0,0.0,0,0,
v2_cs500,v2,500,Baseline,20,8,0,8,1.0,1.0,14,14,1.0
v2_cs500,v2,500,Noise_Low,20,6,1,5,0.9615,0.9444,10,10,1.0
v2_cs500,v2,500,Noise_Medium,20,3,1,2,0.9048,0.8667,4,4,1.0
v2_cs500,v2,500,Noise_High,20,1,1,0,0.8,0.7273,0,0,
v2_cs500,v2,500,CAV_Extreme,20,0,0,0,0.0,0.0,0,0,
