fileName,chunkIndex,totalChunks,simTime,txX,txY,rxX,rxY,distance
frame_0000.bin,0,1,11.0002,26.6,961.789,101.169,1026.6,98.7976
frame_0001.bin,0,1,13.5002,26.6,939.149,115.745,1026.6,124.878
frame_0002.bin,0,1,16.0002,26.6,924.704,138.699,1026.6,151.489
frame_0003.bin,0,1,18.5002,26.6,902.429,154.41,1026.6,178.196
frame_0004.bin,0,1,21.0002,26.6,888.185,176.803,1026.6,204.254
frame_0005.bin,0,1,23.5002,26.6,866.302,192.176,1026.6,230.458
frame_0006.bin,0,1,26.0002,26.6,851.92,213.311,1026.6,255.684
frame_0007.bin,0,1,28.5002,26.6,830.359,228.306,1026.6,281.417
frame_0008.bin,0,1,31.0002,26.6,816.228,249.227,1026.6,306.299
frame_0009.bin,0,1,33.5002,26.6,793.269,264.306,1026.6,333.088
frame_0010.bin,0,1,36.0002,26.6,778.271,286.095,1026.6,359.172
