fileName,chunkIndex,totalChunks,simTime,txX,txY,rxX,rxY,distance
frame_0000.bin,0,2,11,26.6,961.789,,,
frame_0000.bin,1,2,13.5,26.6,939.149,,,
frame_0001.bin,0,2,16,26.6,924.704,,,
frame_0001.bin,1,2,18.5,26.6,902.429,,,
frame_0002.bin,0,2,21,26.6,888.185,,,
frame_0002.bin,1,2,23.5,26.6,866.302,,,
frame_0003.bin,0,2,26,26.6,851.92,,,
frame_0003.bin,1,2,28.5,26.6,830.359,,,
frame_0004.bin,0,2,31,26.6,816.228,,,
frame_0004.bin,1,2,33.5,26.6,793.269,,,
frame_0005.bin,0,2,36,26.6,778.271,,,
frame_0005.bin,1,2,38.5,26.6,757.108,,,
frame_0006.bin,0,2,41,26.6,741.463,,,
frame_0006.bin,1,2,43.5,26.6,718.275,,,
frame_0007.bin,0,2,46,26.6,704.433,,,
frame_0007.bin,1,2,48.5,26.6,681.408,,,
frame_0008.bin,0,2,51,26.6,665.738,,,
frame_0008.bin,1,2,53.5,26.6,643.293,,,
frame_0009.bin,0,2,56,26.6,629.033,,,
frame_0009.bin,1,2,58.5,26.6,607.315,,,
frame_0010.bin,0,2,61,26.6,593.471,,,
frame_0010.bin,1,2,63.5,26.6,570.099,,,
frame_0011.bin,0,2,66,26.6,554.913,,,
frame_0011.bin,1,2,68.5,26.6,533.143,,,
frame_0012.bin,0,4,71,26.6,519.222,,,
frame_0012.bin,1,4,73.5,26.6,496.195,,,
frame_0012.bin,2,4,76,26.6,480.905,,,
frame_0012.bin,3,4,78.5,26.6,459.162,,,
frame_0013.bin,0,4,81,26.6,444.075,,,
frame_0013.bin,1,4,83.5,26.6,421.631,,,
frame_0013.bin,2,4,86,26.6,406.595,,,
frame_0013.bin,3,4,88.5,26.6,384.564,,,
frame_0014.bin,0,1,91,26.6,369.199,,,
frame_0015.bin,0,1,93.5,26.6,347.697,,,
frame_0016.bin,0,1,96,26.6,333.723,,,
frame_0017.bin,0,2,98.5,26.6,310.873,,,
frame_0017.bin,1,2,101,26.6,295.688,,,
frame_0018.bin,0,2,103.5,26.6,273.036,,,
frame_0018.bin,1,2,106,26.6,258.177,,,
frame_0019.bin,0,2,108.5,26.6,235.75,,,
frame_0019.bin,1,2,111,26.6,221.546,,,
