frame,source_image,sent_bytes,gbsed_bytes,received_bytes,status,bit_exact,tx_resolution,rx_resolution,psnr_db,n_detections,nodes_orig,nodes_rec,edges_orig,edges_rec,edges_common,nodes_match,edge_precision,edge_recall,edge_f1,risky_orig,risky_rec,risky_preserved,note
0,/Users/mahdisahil/Desktop/PythonEnvs/gbsed/images_seq1/00097097.jpg,758,762,758,DEGRADED,True,102x58,102x58,22.37,0,7,5,18,4,4,False,1.0,0.2222,0.3636,0,0,0,detector found nothing in the received frame
1,/Users/mahdisahil/Desktop/PythonEnvs/gbsed/images_seq1/00097098.jpg,812,862,812,DEGRADED,True,128x72,128x72,22.66,0,7,5,18,4,4,False,1.0,0.2222,0.3636,2,0,0,detector found nothing in the received frame
2,/Users/mahdisahil/Desktop/PythonEnvs/gbsed/images_seq1/00097099.jpg,815,862,815,DEGRADED,True,128x72,128x72,22.65,0,7,5,18,4,4,False,1.0,0.2222,0.3636,2,0,0,detector found nothing in the received frame
3,/Users/mahdisahil/Desktop/PythonEnvs/gbsed/images_seq1/00097100.jpg,816,862,816,DEGRADED,True,128x72,128x72,22.57,0,7,5,16,4,4,False,1.0,0.25,0.4,2,0,0,detector found nothing in the received frame
4,/Users/mahdisahil/Desktop/PythonEnvs/gbsed/images_seq1/00097100.png,816,862,816,DEGRADED,True,128x72,128x72,22.57,0,7,5,16,4,4,False,1.0,0.25,0.4,2,0,0,detector found nothing in the received frame
5,/Users/mahdisahil/Desktop/PythonEnvs/gbsed/images_seq1/00097101.jpg,819,862,819,DEGRADED,True,128x72,128x72,22.44,0,7,5,16,4,4,False,1.0,0.25,0.4,2,0,0,detector found nothing in the received frame
6,/Users/mahdisahil/Desktop/PythonEnvs/gbsed/images_seq1/00097102.jpg,817,862,817,DEGRADED,True,128x72,128x72,22.32,0,7,5,16,4,4,False,1.0,0.25,0.4,2,0,0,detector found nothing in the received frame
7,/Users/mahdisahil/Desktop/PythonEnvs/gbsed/images_seq1/00097103.jpg,821,862,821,DEGRADED,True,128x72,128x72,22.22,0,7,5,16,4,4,False,1.0,0.25,0.4,2,0,0,detector found nothing in the received frame
8,/Users/mahdisahil/Desktop/PythonEnvs/gbsed/images_seq1/00097104.jpg,818,862,818,DEGRADED,True,128x72,128x72,22.2,0,7,5,16,4,4,False,1.0,0.25,0.4,2,0,0,detector found nothing in the received frame
9,/Users/mahdisahil/Desktop/PythonEnvs/gbsed/images_seq1/00097105.jpg,760,762,760,DEGRADED,True,102x58,102x58,21.79,0,7,5,16,4,4,False,1.0,0.25,0.4,4,0,0,detector found nothing in the received frame
10,/Users/mahdisahil/Desktop/PythonEnvs/gbsed/images_seq1/00097106.jpg,758,762,758,DEGRADED,True,102x58,102x58,21.81,0,7,5,16,4,4,False,1.0,0.25,0.4,4,0,0,detector found nothing in the received frame
11,/Users/mahdisahil/Desktop/PythonEnvs/gbsed/images_seq1/00097107.jpg,757,762,757,DEGRADED,True,102x58,102x58,21.86,0,7,5,16,4,4,False,1.0,0.25,0.4,4,0,0,detector found nothing in the received frame
12,/Users/mahdisahil/Desktop/PythonEnvs/gbsed/images_seq1/00097108.jpg,1473,1642,1473,DEGRADED,True,256x144,256x144,25.81,0,10,5,19,4,4,False,1.0,0.2105,0.3478,2,0,0,detector found nothing in the received frame
13,/Users/mahdisahil/Desktop/PythonEnvs/gbsed/images_seq1/00097109.jpg,1292,1354,1292,DEGRADED,True,256x144,256x144,23.79,0,9,5,18,4,4,False,1.0,0.2222,0.3636,2,0,0,detector found nothing in the received frame
14,/Users/mahdisahil/Desktop/PythonEnvs/gbsed/images_seq1/00097110.jpg,630,436,0,LOST,False,13x7,,,0,6,0,9,0,0,False,0.0,0.0,0.0,2,0,0,never completed at the receiver
15,/Users/mahdisahil/Desktop/PythonEnvs/gbsed/images_seq1/00097111.jpg,630,436,0,LOST,False,13x7,,,0,6,0,9,0,0,False,0.0,0.0,0.0,2,0,0,never completed at the receiver
16,/Users/mahdisahil/Desktop/PythonEnvs/gbsed/images_seq1/00097112.jpg,630,436,0,LOST,False,13x7,,,0,6,0,9,0,0,False,0.0,0.0,0.0,2,0,0,never completed at the receiver
17,/Users/mahdisahil/Desktop/PythonEnvs/gbsed/images_seq1/00097113.jpg,630,562,0,LOST,False,13x7,,,0,7,0,10,0,0,False,0.0,0.0,0.0,2,0,0,never completed at the receiver
18,/Users/mahdisahil/Desktop/PythonEnvs/gbsed/images_seq1/00097114.jpg,689,704,0,LOST,False,64x36,,,0,8,0,11,0,0,False,0.0,0.0,0.0,2,0,0,never completed at the receiver
19,/Users/mahdisahil/Desktop/PythonEnvs/gbsed/images_seq1/00097114.png,689,704,0,LOST,False,64x36,,,0,8,0,11,0,0,False,0.0,0.0,0.0,2,0,0,never completed at the receiver
